,CIK,Date first added,Founded,Sub Sector,Sector,Headquarters Location,SEC filings,Security,Gold,Intercept,M_Index,NaturalGas,Oil,Group
MMM,66740,0,1902,Industrial Conglomerates,Industrials,"St. Paul, Minnesota",reports,3M Company,0.0,0.0,1.0615151568809622,0.0,0.0,0
ABT,1800,3/31/1964,1888,Health Care Equipment,Health Care,"North Chicago, Illinois",reports,Abbott Laboratories,0.0,0.0,1.0722023950311952,0.0,-0.019397770125437547,0
ABBV,1551152,12/31/2012,2013 (1888),Pharmaceuticals,Health Care,"North Chicago, Illinois",reports,AbbVie Inc.,0.0,0.0,1.0810532705919942,0.0,0.0,0
ACN,1467373,7/6/2011,1989,IT Consulting & Other Services,Information Technology,"Dublin, Ireland",reports,Accenture plc,0.0,0.0,1.0532847636798333,0.0,0.0,0
ATVI,718877,8/31/2015,2008,Interactive Home Entertainment,Communication Services,"Santa Monica, California",reports,Activision Blizzard,0.0,0.0,1.337670360493436,0.0,0.0,0
ADBE,796343,5/5/1997,1982,Application Software,Information Technology,"San Jose, California",reports,Adobe Systems Inc,0.17563880196334858,0.0009417283429903273,1.514176164767124,0.0,0.0,7
AMD,2488,3/20/2017,1969,Semiconductors,Information Technology,"Santa Clara, California",reports,Advanced Micro Devices Inc,0.0,0.0,2.0496221587618404,0.0,0.0,0
AAP,1158449,7/9/2015,1932,Automotive Retail,Consumer Discretionary,"Raleigh, North Carolina",reports,Advance Auto Parts,0.0,0.0,0.778218158068338,0.0,0.0,1
AES,874761,10/2/1998,1981,Independent Power Producers & Energy Traders,Utilities,"Arlington, Virginia",reports,AES Corp,0.2740926137619709,0.0,0.6328558570623629,0.0,0.0,1
AFL,4977,5/28/1999,1955,Life & Health Insurance,Financials,"Columbus, Georgia",reports,AFLAC Inc,-0.09890371386447536,0.0,0.7029403796381578,0.0,0.0,1
A,1090872,6/5/2000,1999,Health Care Equipment,Health Care,"Santa Clara, California",reports,Agilent Technologies Inc,0.0,0.0,1.2134812404495792,0.0,-0.021463939312083145,0
APD,2969,4/30/1985,1940,Industrial Gases,Materials,"Allentown, Pennsylvania",reports,Air Products & Chemicals Inc,0.0,0.0,0.8961353839568703,0.0,0.0,0
AKAM,1086222,7/12/2007,1998,Internet Services & Infrastructure,Information Technology,"Cambridge, Massachusetts",reports,Akamai Technologies Inc,0.0,0.0,1.1635820187534938,0.0,0.0,0
ALK,766421,5/13/2016,1985,Airlines,Industrials,"Seattle, Washington",reports,Alaska Air Group Inc,-0.2998117911027488,0.0,1.004337793784616,0.0,-0.04081115137415022,6
ALB,915913,7/1/2016,1994,Specialty Chemicals,Materials,"Charlotte, North Carolina",reports,Albemarle Corp,0.0,0.0,1.126808264452226,0.0,0.0,0
ARE,1035443,3/20/2017,1994,Office REITs,Real Estate,"Pasadena, California",reports,Alexandria Real Estate Equities,0.1618910893167649,0.0,0.6545781259649832,0.0,0.0,1
ALXN,899866,5/25/2012,1992,Biotechnology,Health Care,"Boston, Massachusetts",reports,Alexion Pharmaceuticals,0.2869125367362662,0.0,1.3899523768413853,0.00033681272021578087,-0.045331277535556665,4
ALGN,1097149,6/19/2017,1997,Health Care Supplies,Health Care,"San Jose, California",reports,Align Technology,0.3258003894276705,0.0,1.7034198208230544,0.0,0.0,0
