,index,CIK,Date first added,Founded,GICS Sub Industry,GICS Sector,Headquarters Location,SEC filings,Security
0,MMM,66740,0,1902,Industrial Conglomerates,Industrials,"St. Paul, Minnesota",reports,3M Company
1,ABT,1800,3/31/1964,1888,Health Care Equipment,Health Care,"North Chicago, Illinois",reports,Abbott Laboratories
2,ABBV,1551152,12/31/2012,2013 (1888),Pharmaceuticals,Health Care,"North Chicago, Illinois",reports,AbbVie Inc.
3,ACN,1467373,7/6/2011,1989,IT Consulting & Other Services,Information Technology,"Dublin, Ireland",reports,Accenture plc
4,ATVI,718877,8/31/2015,2008,Interactive Home Entertainment,Communication Services,"Santa Monica, California",reports,Activision Blizzard
5,ADBE,796343,5/5/1997,1982,Application Software,Information Technology,"San Jose, California",reports,Adobe Systems Inc
6,AMD,2488,3/20/2017,1969,Semiconductors,Information Technology,"Santa Clara, California",reports,Advanced Micro Devices Inc
7,AAP,1158449,7/9/2015,1932,Automotive Retail,Consumer Discretionary,"Raleigh, North Carolina",reports,Advance Auto Parts
8,AES,874761,10/2/1998,1981,Independent Power Producers & Energy Traders,Utilities,"Arlington, Virginia",reports,AES Corp
9,AFL,4977,5/28/1999,1955,Life & Health Insurance,Financials,"Columbus, Georgia",reports,AFLAC Inc
10,A,1090872,6/5/2000,1999,Health Care Equipment,Health Care,"Santa Clara, California",reports,Agilent Technologies Inc
11,APD,2969,4/30/1985,1940,Industrial Gases,Materials,"Allentown, Pennsylvania",reports,Air Products & Chemicals Inc
12,AKAM,1086222,7/12/2007,1998,Internet Services & Infrastructure,Information Technology,"Cambridge, Massachusetts",reports,Akamai Technologies Inc
13,ALK,766421,5/13/2016,1985,Airlines,Industrials,"Seattle, Washington",reports,Alaska Air Group Inc
14,ALB,915913,7/1/2016,1994,Specialty Chemicals,Materials,"Charlotte, North Carolina",reports,Albemarle Corp
15,ARE,1035443,3/20/2017,1994,Office REITs,Real Estate,"Pasadena, California",reports,Alexandria Real Estate Equities
16,ALXN,899866,5/25/2012,1992,Biotechnology,Health Care,"Boston, Massachusetts",reports,Alexion Pharmaceuticals
17,ALGN,1097149,6/19/2017,1997,Health Care Supplies,Health Care,"San Jose, California",reports,Align Technology
18,ALLE,1579241,12/2/2013,1908,Building Products,Industrials,"Dublin, Ireland",reports,Allegion
19,AGN,1578845,4/12/1999,1983,Pharmaceuticals,Health Care,"Dublin, Ireland",reports,"Allergan, plc"
20,ADS,1101215,12/23/2013,1996,Data Processing & Outsourced Services,Information Technology,"Plano, Texas",reports,Alliance Data Systems
21,LNT,352541,7/1/2016,1917,Electric Utilities,Utilities,"Madison, Wisconsin",reports,Alliant Energy Corp
22,ALL,899051,7/13/1995,1931,Property & Casualty Insurance,Financials,"Northfield Township, Illinois",reports,Allstate Corp
23,GOOGL,1652044,4/3/2014,1998,Interactive Media & Services,Communication Services,"Mountain View, California",reports,Alphabet Inc Class A
24,MO,764180,0,1985,Tobacco,Consumer Staples,"Richmond, Virginia",reports,Altria Group Inc
25,AMZN,1018724,11/18/2005,1994,Internet & Direct Marketing Retail,Consumer Discretionary,"Seattle, Washington",reports,Amazon.com Inc.
26,AEE,1002910,9/19/1991,1902,Multi-Utilities,Utilities,"St. Louis, Missouri",reports,Ameren Corp
27,AAL,6201,3/23/2015,1934,Airlines,Industrials,"Fort Worth, Texas",reports,American Airlines Group
28,AEP,4904,0,1906,Electric Utilities,Utilities,"Columbus, Ohio",reports,American Electric Power
29,AXP,4962,6/30/1976,1850,Consumer Finance,Financials,"New York, New York",reports,American Express Co
30,AIG,5272,3/31/1980,1919,Property & Casualty Insurance,Financials,"New York, New York",reports,American International Group
31,AMT,1053507,11/19/2007,1995,Specialized REITs,Real Estate,"Boston, Massachusetts",reports,American Tower Corp.
32,AWK,1410636,3/4/2016,1886,Water Utilities,Utilities,"Camden, New Jersey",reports,American Water Works Company Inc
33,AMP,820027,10/3/2005,1894,Asset Management & Custody Banks,Financials,"Minneapolis, Minnesota",reports,Ameriprise Financial
34,ABC,1140859,8/30/2001,1985,Health Care Distributors,Health Care,"Chesterbrook, Pennsylvania",reports,AmerisourceBergen Corp
35,AME,1037868,9/23/2013,1930,Electrical Components & Equipment,Industrials,"Berwyn, Pennsylvania",reports,AMETEK Inc.
36,AMGN,318154,1/2/1992,1980,Biotechnology,Health Care,"Thousand Oaks, California",reports,Amgen Inc.
37,APH,820313,9/30/2008,1932,Electronic Components,Information Technology,"Wallingford, Connecticut",reports,Amphenol Corp
38,ADI,6281,10/12/1999,1965,Semiconductors,Information Technology,"Norwood, Massachusetts",reports,"Analog Devices, Inc."
39,ANSS,1013462,6/19/2017,1969,Application Software,Information Technology,"Canonsburg, Pennsylvania",reports,ANSYS
40,ANTM,1156039,7/25/2002,2014 (1940s),Managed Health Care,Health Care,"Indianapolis, Indiana",reports,Anthem
41,AON,315293,4/23/1996,1982 (1919),Insurance Brokers,Financials,"London, United Kingdom",reports,Aon plc
42,APA,6769,7/28/1997,1954,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Apache Corporation
43,AIV,922864,3/14/2003,1994 (1975),Residential REITs,Real Estate,"Denver, Colorado",reports,Apartment Investment & Management
44,AAPL,320193,11/30/1982,1977,"Technology Hardware, Storage & Peripherals",Information Technology,"Cupertino, California",reports,Apple Inc.
45,AMAT,6951,3/16/1995,1967,Semiconductor Equipment,Information Technology,"Santa Clara, California",reports,Applied Materials Inc.
46,ADM,7084,7/29/1981,1902,Agricultural Products,Consumer Staples,"Chicago, Illinois",reports,Archer-Daniels-Midland Co
47,ARNC,4281,3/31/1964,2016,Aerospace & Defense,Industrials,"New York, New York",reports,Arconic Inc.
48,AJG,354190,5/31/2016,0,Insurance Brokers,Financials,"Itasca, Illinois",reports,Arthur J. Gallagher & Co.
49,AIZ,1267238,4/10/2007,0,Multi-line Insurance,Financials,"New York, New York",reports,Assurant
50,T,732717,1983-11-30 (1957-03-04),1983 (1885),Integrated Telecommunication Services,Communication Services,"Dallas, Texas",reports,AT&T Inc.
51,ADSK,769397,12/1/1989,0,Application Software,Information Technology,"San Rafael, California",reports,Autodesk Inc.
52,ADP,8670,3/31/1981,0,Internet Services & Infrastructure,Information Technology,"Roseland, New Jersey",reports,Automatic Data Processing
53,AZO,866787,1/2/1997,0,Specialty Stores,Consumer Discretionary,"Memphis, Tennessee",reports,AutoZone Inc
54,AVB,915912,1/10/2007,0,Residential REITs,Real Estate,"Arlington, Virginia[3]",reports,"AvalonBay Communities, Inc."
55,AVY,8818,12/31/1987,0,Paper Packaging,Materials,"Glendale, California",reports,Avery Dennison Corp
56,BLL,9389,10/31/1984,0,Metal & Glass Containers,Materials,"Broomfield, Colorado",reports,Ball Corp
57,BAC,70858,6/30/1976,0,Diversified Banks,Financials,"Charlotte, North Carolina",reports,Bank of America Corp
58,BK,1390777,3/31/1995,0,Asset Management & Custody Banks,Financials,"New York, New York",reports,The Bank of New York Mellon Corp.
59,BAX,10456,9/30/1972,1931,Health Care Equipment,Health Care,"Deerfield, Illinois",reports,Baxter International Inc.
60,BDX,10795,9/30/1972,1897,Health Care Equipment,Health Care,"Franklin Lakes, New Jersey",reports,Becton Dickinson
61,BBY,764478,6/29/1999,0,Computer & Electronics Retail,Consumer Discretionary,"Richfield, Minnesota",reports,Best Buy Co. Inc.
62,BIIB,875045,11/13/2003,0,Biotechnology,Health Care,"Cambridge, Massachusetts",reports,Biogen Inc.
63,BLK,1364742,4/4/2011,0,Asset Management & Custody Banks,Financials,"New York, New York",reports,BlackRock
64,HRB,12659,11/30/1986,0,Specialized Consumer Services,Consumer Discretionary,"Kansas City, Missouri",reports,H&R Block
65,BA,12927,0,1916,Aerospace & Defense,Industrials,"Chicago, Illinois",reports,Boeing Company
66,BWA,908255,12/19/2011,0,Auto Parts & Equipment,Consumer Discretionary,"Auburn Hills, Michigan",reports,BorgWarner
67,BXP,1037540,4/3/2006,0,Office REITs,Real Estate,"Boston, Massachusetts",reports,Boston Properties
68,BSX,885725,2/24/1995,0,Health Care Equipment,Health Care,"Marlborough, Massachusetts[4]",reports,Boston Scientific
69,BMY,14272,0,1989,Health Care Distributors,Health Care,"New York, New York",reports,Bristol-Myers Squibb
70,CHRW,1043277,3/2/2007,0,Air Freight & Logistics,Industrials,"Eden Prairie, Minnesota",reports,C. H. Robinson Worldwide
71,COG,858470,6/23/2008,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Cabot Oil & Gas
72,CPB,16732,0,1869,Packaged Foods & Meats,Consumer Staples,"Camden, New Jersey",reports,Campbell Soup
73,COF,927628,7/1/1998,1935,Consumer Finance,Financials,"Tysons Corner, Virginia",reports,Capital One Financial
74,CAH,721371,5/27/1997,0,Health Care Distributors,Health Care,"Dublin, Ohio",reports,Cardinal Health Inc.
75,CBOE,1374310,3/1/2017,0,Financial Exchanges & Data,Financials,"Chicago, Illinois",reports,Cboe Global Markets
76,KMX,1170010,6/28/2010,0,Specialty Stores,Consumer Discretionary,"Richmond, Virginia",reports,Carmax Inc
77,CCL,815097,12/22/1998,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Miami, Florida",reports,Carnival Corp.
